Order Date,Product,Category,Region,Customer Name,Quantity,Sales
2024-02-02 21:58:47.855711,Wireless Mouse,Accessories,South,Customer 3869,5,123.71
2024-02-03 15:32:06.252505,Webcam HD,Electronics,North,Customer 6699,1,42.64
2024-02-04 09:05:24.649298,Webcam HD,Electronics,East,Customer 5496,4,576.97
2024-02-05 02:38:43.046092,Noise Cancelling Headphones,Electronics,East,Customer 4446,4,133.01
2024-02-05 20:12:01.442885,Monitor Arm,Furniture,East,Customer 1225,5,169.75
2024-02-06 13:45:19.839679,Wireless Mouse,Accessories,North,Customer 8996,4,479.92
2024-02-07 07:18:38.236472,Mechanical Keyboard,Accessories,North,Customer 8679,3,420.94
2024-02-08 00:51:56.633266,Mechanical Keyboard,Accessories,Central,Customer 2060,5,488.55
2024-02-08 18:25:15.030060,Wireless Mouse,Accessories,East,Customer 1699,5,642.36
2024-02-09 11:58:33.426853,Desk Lamp,Furniture,North,Customer 4327,5,299.12
2024-02-10 05:31:51.823647,Laptop Stand,Furniture,South,Customer 6442,1,25.35
2024-02-10 23:05:10.220440,Noise Cancelling Headphones,Electronics,South,Customer 8806,2,301.1
2024-02-11 16:38:28.617234,Laptop Stand,Furniture,North,Customer 8560,2,31.21
2024-02-12 10:11:47.014028,Noise Cancelling Headphones,Electronics,South,Customer 6986,5,118.91
2024-02-13 03:45:05.410821,Noise Cancelling Headphones,Electronics,South,Customer 3950,5,225.07
2024-02-13 21:18:23.807615,Webcam HD,Electronics,West,Customer 7002,4,58.06
2024-02-14 14:51:42.204408,Mechanical Keyboard,Accessories,East,Customer 4769,2,50.43
2024-02-15 08:25:00.601202,Webcam HD,Electronics,North,Customer 5777,2,53.23
2024-02-16 01:58:18.997995,Monitor Arm,Furniture,Central,Customer 4124,3,128.83
2024-02-16 19:31:37.394789,Mechanical Keyboard,Accessories,West,Customer 5869,5,546.2
2024-02-17 13:04:55.791583,Mechanical Keyboard,Accessories,West,Customer 7799,3,394.26
2024-02-18 06:38:14.188376,Mechanical Keyboard,Accessories,East,Customer 5752,2,176.36
2024-02-19 00:11:32.585170,USB-C Hub,Accessories,South,Customer 9932,4,93.69
2024-02-19 17:44:50.981963,Monitor Arm,Furniture,Central,Customer 2664,1,42.06
2024-02-20 11:18:09.378757,Wireless Mouse,Accessories,North,Customer 8404,2,286.8
2024-02-21 04:51:27.775551,Noise Cancelling Headphones,Electronics,Central,Customer 8004,5,590.35
2024-02-21 22:24:46.172344,Mechanical Keyboard,Accessories,East,Customer 8253,2,270.86
2024-02-22 15:58:04.569138,Monitor Arm,Furniture,North,Customer 3141,4,257.06
2024-02-23 09:31:22.965931,Mechanical Keyboard,Accessories,South,Customer 7617,5,224.62
2024-02-24 03:04:41.362725,Desk Lamp,Furniture,Central,Customer 6881,4,61.39
2024-02-24 20:37:59.759519,Webcam HD,Electronics,West,Customer 8390,4,90.31
2024-02-25 14:11:18.156312,USB-C Hub,Accessories,North,Customer 5611,2,306.95
2024-02-26 07:44:36.553106,Noise Cancelling Headphones,Electronics,West,Customer 7303,2,32.64
2024-02-27 01:17:54.949899,Noise Cancelling Headphones,Electronics,East,Customer 3427,4,92.57
2024-02-27 18:51:13.346693,Webcam HD,Electronics,Central,Customer 6387,3,102.61
2024-02-28 12:24:31.743486,Wireless Mouse,Accessories,West,Customer 5380,2,63.97
2024-02-29 05:57:50.140280,Desk Lamp,Furniture,East,Customer 9945,2,124.39
2024-02-29 23:31:08.537074,Wireless Mouse,Accessories,Central,Customer 1417,2,285.64
2024-03-01 17:04:26.933867,Desk Lamp,Furniture,Central,Customer 6745,4,102.58
2024-03-02 10:37:45.330661,Webcam HD,Electronics,Central,Customer 8164,4,57.38
2024-03-03 04:11:03.727454,Laptop Stand,Furniture,East,Customer 2122,5,73.69
2024-03-03 21:44:22.124248,Laptop Stand,Furniture,Central,Customer 4440,1,124.32
2024-03-04 15:17:40.521042,Desk Lamp,Furniture,North,Customer 6917,1,37.82
2024-03-05 08:50:58.917835,Monitor Arm,Furniture,North,Customer 2365,4,575.72
2024-03-06 02:24:17.314629,USB-C Hub,Accessories,West,Customer 8400,1,48.12
2024-03-06 19:57:35.711422,Wireless Mouse,Accessories,West,Customer 5946,4,359.5
2024-03-07 13:30:54.108216,Noise Cancelling Headphones,Electronics,East,Customer 5491,5,289.72
2024-03-08 07:04:12.505010,USB-C Hub,Accessories,Central,Customer 2167,5,238.03
2024-03-09 00:37:30.901803,Webcam HD,Electronics,South,Customer 7541,5,126.24
2024-03-09 18:10:49.298597,Webcam HD,Electronics,Central,Customer 5330,3,374.82
2024-03-10 11:44:07.695390,Desk Lamp,Furniture,South,Customer 1953,4,61.42
2024-03-11 05:17:26.092184,Webcam HD,Electronics,South,Customer 7938,5,780.94
2024-03-11 22:50:44.488977,Webcam HD,Electronics,East,Customer 2365,5,318.77
2024-03-12 16:24:02.885771,Desk Lamp,Furniture,West,Customer 4141,1,62.5
2024-03-13 09:57:21.282565,USB-C Hub,Accessories,East,Customer 9905,5,243.29
2024-03-14 03:30:39.679358,Desk Lamp,Furniture,Central,Customer 5849,3,178.87
2024-03-14 21:03:58.076152,Laptop Stand,Furniture,Central,Customer 4072,4,186.52
2024-03-15 14:37:16.472945,Mechanical Keyboard,Accessories,West,Customer 8576,1,128.85
2024-03-16 08:10:34.869739,Monitor Arm,Furniture,South,Customer 4627,5,493.01
2024-03-17 01:43:53.266533,Webcam HD,Electronics,Central,Customer 5175,5,603.32
2024-03-17 19:17:11.663326,USB-C Hub,Accessories,West,Customer 7190,4,246.21
2024-03-18 12:50:30.060120,Monitor Arm,Furniture,East,Customer 3703,1,62.85
2024-03-19 06:23:48.456913,USB-C Hub,Accessories,West,Customer 8575,4,102.4
2024-03-19 23:57:06.853707,Noise Cancelling Headphones,Electronics,West,Customer 4719,2,87.36
2024-03-20 17:30:25.250501,Laptop Stand,Furniture,Central,Customer 5835,4,197.5
2024-03-21 11:03:43.647294,Monitor Arm,Furniture,North,Customer 7132,1,15.94
2024-03-22 04:37:02.044088,Mechanical Keyboard,Accessories,East,Customer 4324,5,326.43
2024-03-22 22:10:20.440881,USB-C Hub,Accessories,North,Customer 1009,5,651.93
2024-03-23 15:43:38.837675,Laptop Stand,Furniture,Central,Customer 2015,3,175.55
2024-03-24 09:16:57.234468,Wireless Mouse,Accessories,North,Customer 8449,2,292.85
2024-03-25 02:50:15.631262,Monitor Arm,Furniture,North,Customer 5000,3,104.34
2024-03-25 20:23:34.028056,USB-C Hub,Accessories,West,Customer 3000,1,60.41
2024-03-26 13:56:52.424849,Webcam HD,Electronics,Central,Customer 4636,3,196.01
2024-03-27 07:30:10.821643,Laptop Stand,Furniture,Central,Customer 8245,3,42.35
2024-03-28 01:03:29.218436,Wireless Mouse,Accessories,Central,Customer 8939,3,170.23
2024-03-28 18:36:47.615230,Wireless Mouse,Accessories,South,Customer 1249,2,90.37
2024-03-29 12:10:06.012024,Monitor Arm,Furniture,South,Customer 5363,3,111.64
2024-03-30 05:43:24.408817,Mechanical Keyboard,Accessories,East,Customer 7544,5,417.06
2024-03-30 23:16:42.805611,Desk Lamp,Furniture,South,Customer 5530,5,324.19
2024-03-31 16:50:01.202404,Noise Cancelling Headphones,Electronics,South,Customer 7241,4,102.73
2024-04-01 10:23:19.599198,Desk Lamp,Furniture,South,Customer 2331,3,106.0
2024-04-02 03:56:37.995991,Wireless Mouse,Accessories,South,Customer 8730,4,374.23
2024-04-02 21:29:56.392785,Webcam HD,Electronics,North,Customer 6449,4,105.38
2024-04-03 15:03:14.789579,Mechanical Keyboard,Accessories,Central,Customer 6569,5,120.72
2024-04-04 08:36:33.186372,USB-C Hub,Accessories,East,Customer 2906,3,453.35
2024-04-05 02:09:51.583166,Desk Lamp,Furniture,West,Customer 9472,3,291.43
2024-04-05 19:43:09.979959,USB-C Hub,Accessories,South,Customer 7777,3,170.06
2024-04-06 13:16:28.376753,Webcam HD,Electronics,West,Customer 5777,5,116.93
2024-04-07 06:49:46.773547,Webcam HD,Electronics,North,Customer 1523,1,56.48
2024-04-08 00:23:05.170340,Laptop Stand,Furniture,South,Customer 8240,1,82.66
2024-04-08 17:56:23.567134,Desk Lamp,Furniture,East,Customer 3878,1,87.79
2024-04-09 11:29:41.963927,Wireless Mouse,Accessories,North,Customer 2276,2,98.75
2024-04-10 05:03:00.360721,Desk Lamp,Furniture,South,Customer 1364,2,82.12
2024-04-10 22:36:18.757515,USB-C Hub,Accessories,East,Customer 2646,3,384.8
2024-04-11 16:09:37.154308,USB-C Hub,Accessories,South,Customer 8673,4,233.0
2024-04-12 09:42:55.551102,USB-C Hub,Accessories,Central,Customer 9905,1,121.54
2024-04-13 03:16:13.947895,Wireless Mouse,Accessories,West,Customer 5632,2,194.06
2024-04-13 20:49:32.344689,Mechanical Keyboard,Accessories,South,Customer 9258,1,46.34
2024-04-14 14:22:50.741482,Laptop Stand,Furniture,South,Customer 8943,4,488.31
2024-04-15 07:56:09.138276,Mechanical Keyboard,Accessories,North,Customer 3739,3,77.19
2024-04-16 01:29:27.535070,Laptop Stand,Furniture,East,Customer 1876,3,434.73
2024-04-16 19:02:45.931863,Wireless Mouse,Accessories,Central,Customer 2733,1,58.38
2024-04-17 12:36:04.328657,Noise Cancelling Headphones,Electronics,East,Customer 4517,4,344.53
2024-04-18 06:09:22.725450,Desk Lamp,Furniture,East,Customer 9434,1,108.44
2024-04-18 23:42:41.122244,Webcam HD,Electronics,South,Customer 9659,4,656.34
2024-04-19 17:15:59.519038,Mechanical Keyboard,Accessories,East,Customer 6560,1,93.93
2024-04-20 10:49:17.915831,USB-C Hub,Accessories,Central,Customer 7469,2,76.55
2024-04-21 04:22:36.312625,Mechanical Keyboard,Accessories,North,Customer 5208,3,135.81
2024-04-21 21:55:54.709418,Wireless Mouse,Accessories,Central,Customer 2917,2,167.56
2024-04-22 15:29:13.106212,Mechanical Keyboard,Accessories,East,Customer 4744,5,170.42
2024-04-23 09:02:31.503006,Noise Cancelling Headphones,Electronics,South,Customer 3219,2,112.84
2024-04-24 02:35:49.899799,Noise Cancelling Headphones,Electronics,North,Customer 2342,2,93.27
2024-04-24 20:09:08.296593,Wireless Mouse,Accessories,East,Customer 8984,1,37.46
2024-04-25 13:42:26.693386,Mechanical Keyboard,Accessories,Central,Customer 9567,4,109.82
2024-04-26 07:15:45.090180,Laptop Stand,Furniture,East,Customer 3560,4,146.75
2024-04-27 00:49:03.486973,Monitor Arm,Furniture,Central,Customer 9007,4,639.35
2024-04-27 18:22:21.883767,Webcam HD,Electronics,East,Customer 5820,4,337.42
2024-04-28 11:55:40.280561,USB-C Hub,Accessories,South,Customer 5227,3,260.07
2024-04-29 05:28:58.677354,Laptop Stand,Furniture,East,Customer 8804,1,24.01
2024-04-29 23:02:17.074148,Desk Lamp,Furniture,North,Customer 2248,1,14.67
2024-04-30 16:35:35.470941,Laptop Stand,Furniture,East,Customer 2970,5,739.73
2024-05-01 10:08:53.867735,USB-C Hub,Accessories,South,Customer 6567,3,420.01
2024-05-02 03:42:12.264529,Desk Lamp,Furniture,West,Customer 9669,5,80.91
2024-05-02 21:15:30.661322,Mechanical Keyboard,Accessories,North,Customer 2120,5,468.63
2024-05-03 14:48:49.058116,USB-C Hub,Accessories,West,Customer 3645,1,93.85
2024-05-04 08:22:07.454909,Webcam HD,Electronics,North,Customer 7028,3,69.16
2024-05-05 01:55:25.851703,Mechanical Keyboard,Accessories,West,Customer 8863,5,750.34
2024-05-05 19:28:44.248496,Noise Cancelling Headphones,Electronics,West,Customer 3891,5,316.31
2024-05-06 13:02:02.645290,USB-C Hub,Accessories,West,Customer 1793,3,99.79
2024-05-07 06:35:21.042084,Webcam HD,Electronics,South,Customer 7166,4,138.94
2024-05-08 00:08:39.438877,Monitor Arm,Furniture,South,Customer 8783,3,135.16
2024-05-08 17:41:57.835671,Wireless Mouse,Accessories,West,Customer 4531,1,110.45
2024-05-09 11:15:16.232464,Noise Cancelling Headphones,Electronics,Central,Customer 6959,4,247.27
2024-05-10 04:48:34.629258,Wireless Mouse,Accessories,South,Customer 7024,4,472.72
2024-05-10 22:21:53.026052,Webcam HD,Electronics,East,Customer 2792,1,83.04
2024-05-11 15:55:11.422845,Webcam HD,Electronics,West,Customer 4030,2,195.15
2024-05-12 09:28:29.819639,Desk Lamp,Furniture,Central,Customer 8112,3,471.98
2024-05-13 03:01:48.216432,Laptop Stand,Furniture,Central,Customer 8970,4,58.78
2024-05-13 20:35:06.613226,Wireless Mouse,Accessories,South,Customer 9070,2,67.86
2024-05-14 14:08:25.010020,Laptop Stand,Furniture,East,Customer 5971,3,48.71
2024-05-15 07:41:43.406813,Monitor Arm,Furniture,West,Customer 4572,1,129.96
2024-05-16 01:15:01.803607,Wireless Mouse,Accessories,East,Customer 5757,5,566.41
2024-05-16 18:48:20.200400,Laptop Stand,Furniture,North,Customer 4432,5,69.73
2024-05-17 12:21:38.597194,Monitor Arm,Furniture,Central,Customer 7704,4,460.76
2024-05-18 05:54:56.993987,Noise Cancelling Headphones,Electronics,East,Customer 9058,5,476.98
2024-05-18 23:28:15.390781,Monitor Arm,Furniture,Central,Customer 9477,5,80.05
2024-05-19 17:01:33.787575,USB-C Hub,Accessories,East,Customer 7645,2,29.64
2024-05-20 10:34:52.184368,Laptop Stand,Furniture,West,Customer 7016,3,348.07
2024-05-21 04:08:10.581162,Desk Lamp,Furniture,South,Customer 2481,3,485.77
2024-05-21 21:41:28.977955,Laptop Stand,Furniture,West,Customer 4462,4,61.91
2024-05-22 15:14:47.374749,Wireless Mouse,Accessories,East,Customer 9519,1,110.5
2024-05-23 08:48:05.771543,Desk Lamp,Furniture,East,Customer 8776,5,176.99
2024-05-24 02:21:24.168336,Noise Cancelling Headphones,Electronics,East,Customer 5547,2,76.22
2024-05-24 19:54:42.565130,Monitor Arm,Furniture,South,Customer 7150,5,461.99
2024-05-25 13:28:00.961923,Wireless Mouse,Accessories,Central,Customer 2308,5,172.25
2024-05-26 07:01:19.358717,Laptop Stand,Furniture,Central,Customer 7035,1,116.06
2024-05-27 00:34:37.755511,Desk Lamp,Furniture,West,Customer 2555,2,71.74
2024-05-27 18:07:56.152304,Monitor Arm,Furniture,Central,Customer 8083,1,23.6
2024-05-28 11:41:14.549098,Laptop Stand,Furniture,North,Customer 3679,4,658.24
2024-05-29 05:14:32.945891,Desk Lamp,Furniture,East,Customer 3573,1,26.21
2024-05-29 22:47:51.342685,Laptop Stand,Furniture,North,Customer 6877,5,77.18
2024-05-30 16:21:09.739478,Monitor Arm,Furniture,South,Customer 9996,4,90.37
2024-05-31 09:54:28.136272,Laptop Stand,Furniture,West,Customer 9232,5,119.35
2024-06-01 03:27:46.533066,Wireless Mouse,Accessories,South,Customer 2622,5,69.1
2024-06-01 21:01:04.929859,Monitor Arm,Furniture,North,Customer 1645,5,183.13
2024-06-02 14:34:23.326653,Laptop Stand,Furniture,North,Customer 9646,4,243.52
2024-06-03 08:07:41.723446,Wireless Mouse,Accessories,West,Customer 3681,2,118.13
2024-06-04 01:41:00.120240,Laptop Stand,Furniture,East,Customer 3866,4,330.5
2024-06-04 19:14:18.517034,USB-C Hub,Accessories,Central,Customer 4850,2,114.93
2024-06-05 12:47:36.913827,Noise Cancelling Headphones,Electronics,East,Customer 2333,4,59.71
2024-06-06 06:20:55.310621,Desk Lamp,Furniture,North,Customer 8715,5,755.98
2024-06-06 23:54:13.707414,USB-C Hub,Accessories,East,Customer 8101,3,147.29
2024-06-07 17:27:32.104208,USB-C Hub,Accessories,South,Customer 8617,2,27.64
2024-06-08 11:00:50.501002,Wireless Mouse,Accessories,North,Customer 1060,1,15.57
2024-06-09 04:34:08.897795,Laptop Stand,Furniture,East,Customer 2252,1,108.06
2024-06-09 22:07:27.294589,USB-C Hub,Accessories,East,Customer 5090,2,98.32
2024-06-10 15:40:45.691382,Wireless Mouse,Accessories,North,Customer 8982,2,27.52
2024-06-11 09:14:04.088176,Noise Cancelling Headphones,Electronics,Central,Customer 2750,3,470.17
2024-06-12 02:47:22.484969,Noise Cancelling Headphones,Electronics,North,Customer 6387,1,23.61
2024-06-12 20:20:40.881763,Laptop Stand,Furniture,South,Customer 9238,1,54.53
2024-06-13 13:53:59.278557,Noise Cancelling Headphones,Electronics,South,Customer 8124,1,119.36
2024-06-14 07:27:17.675350,Desk Lamp,Furniture,North,Customer 9007,5,656.53
2024-06-15 01:00:36.072144,Desk Lamp,Furniture,West,Customer 4042,5,120.48
2024-06-15 18:33:54.468937,Laptop Stand,Furniture,East,Customer 3667,1,83.17
2024-06-16 12:07:12.865731,Laptop Stand,Furniture,East,Customer 3983,3,177.88
2024-06-17 05:40:31.262525,Desk Lamp,Furniture,North,Customer 6468,4,495.52
2024-06-17 23:13:49.659318,Webcam HD,Electronics,Central,Customer 9502,2,29.77
2024-06-18 16:47:08.056112,Laptop Stand,Furniture,Central,Customer 4810,3,329.04
2024-06-19 10:20:26.452905,Monitor Arm,Furniture,North,Customer 9436,4,239.03
2024-06-20 03:53:44.849699,Noise Cancelling Headphones,Electronics,North,Customer 5361,4,440.8
2024-06-20 21:27:03.246492,Desk Lamp,Furniture,North,Customer 4760,4,221.3
2024-06-21 15:00:21.643286,Monitor Arm,Furniture,South,Customer 5388,2,81.76
2024-06-22 08:33:40.040080,Wireless Mouse,Accessories,North,Customer 5494,5,439.59
2024-06-23 02:06:58.436873,Noise Cancelling Headphones,Electronics,East,Customer 2828,4,190.31
2024-06-23 19:40:16.833667,USB-C Hub,Accessories,East,Customer 2868,4,395.22
2024-06-24 13:13:35.230460,Desk Lamp,Furniture,East,Customer 8827,4,192.16
2024-06-25 06:46:53.627254,Monitor Arm,Furniture,Central,Customer 2389,5,165.57
2024-06-26 00:20:12.024048,Laptop Stand,Furniture,North,Customer 7402,1,26.63
2024-06-26 17:53:30.420841,Webcam HD,Electronics,North,Customer 2913,5,452.25
2024-06-27 11:26:48.817635,USB-C Hub,Accessories,South,Customer 8312,2,65.15
2024-06-28 05:00:07.214428,Noise Cancelling Headphones,Electronics,Central,Customer 8287,3,283.39
2024-06-28 22:33:25.611222,Wireless Mouse,Accessories,Central,Customer 2290,1,48.4
2024-06-29 16:06:44.008016,USB-C Hub,Accessories,Central,Customer 2218,3,147.3
2024-06-30 09:40:02.404809,Mechanical Keyboard,Accessories,North,Customer 1954,2,28.69
2024-07-01 03:13:20.801603,Mechanical Keyboard,Accessories,South,Customer 9228,3,169.93
2024-07-01 20:46:39.198396,Webcam HD,Electronics,Central,Customer 6233,4,239.77
2024-07-02 14:19:57.595190,Noise Cancelling Headphones,Electronics,South,Customer 2591,5,180.67
2024-07-03 07:53:15.991983,Noise Cancelling Headphones,Electronics,Central,Customer 2312,3,193.63
2024-07-04 01:26:34.388777,USB-C Hub,Accessories,East,Customer 2704,4,58.01
2024-07-04 18:59:52.785571,Webcam HD,Electronics,South,Customer 5286,1,62.39
2024-07-05 12:33:11.182364,Mechanical Keyboard,Accessories,Central,Customer 3808,5,158.52
2024-07-06 06:06:29.579158,Desk Lamp,Furniture,East,Customer 4741,2,54.09
2024-07-06 23:39:47.975951,Laptop Stand,Furniture,Central,Customer 1294,4,93.86
2024-07-07 17:13:06.372745,Webcam HD,Electronics,North,Customer 3064,3,41.54
2024-07-08 10:46:24.769539,Laptop Stand,Furniture,Central,Customer 2007,4,552.84
2024-07-09 04:19:43.166332,Monitor Arm,Furniture,South,Customer 2435,2,30.8
2024-07-09 21:53:01.563126,Monitor Arm,Furniture,West,Customer 8059,5,311.27
2024-07-10 15:26:19.959919,Laptop Stand,Furniture,North,Customer 9073,4,139.26
2024-07-11 08:59:38.356713,Monitor Arm,Furniture,East,Customer 7353,2,322.29
2024-07-12 02:32:56.753507,Noise Cancelling Headphones,Electronics,West,Customer 9954,5,208.35
2024-07-12 20:06:15.150300,Webcam HD,Electronics,Central,Customer 8813,4,467.7
2024-07-13 13:39:33.547094,Noise Cancelling Headphones,Electronics,South,Customer 4356,3,114.33
2024-07-14 07:12:51.943887,USB-C Hub,Accessories,Central,Customer 2098,5,70.81
2024-07-15 00:46:10.340681,Laptop Stand,Furniture,East,Customer 6658,4,386.5
2024-07-15 18:19:28.737474,Monitor Arm,Furniture,West,Customer 1988,4,653.23
2024-07-16 11:52:47.134268,Noise Cancelling Headphones,Electronics,West,Customer 2682,5,167.1
2024-07-17 05:26:05.531062,USB-C Hub,Accessories,South,Customer 1933,3,42.57
2024-07-17 22:59:23.927855,Webcam HD,Electronics,North,Customer 9984,3,469.34
2024-07-18 16:32:42.324649,Laptop Stand,Furniture,East,Customer 2607,4,559.11
2024-07-19 10:06:00.721442,Wireless Mouse,Accessories,Central,Customer 9711,1,63.25
2024-07-20 03:39:19.118236,Monitor Arm,Furniture,East,Customer 1959,2,86.3
2024-07-20 21:12:37.515030,Noise Cancelling Headphones,Electronics,East,Customer 8725,4,99.24
2024-07-21 14:45:55.911823,Monitor Arm,Furniture,West,Customer 2875,1,88.75
2024-07-22 08:19:14.308617,Monitor Arm,Furniture,Central,Customer 1116,1,45.81
2024-07-23 01:52:32.705410,Noise Cancelling Headphones,Electronics,Central,Customer 5167,3,446.81
2024-07-23 19:25:51.102204,Monitor Arm,Furniture,East,Customer 6420,2,189.25
2024-07-24 12:59:09.498997,Mechanical Keyboard,Accessories,East,Customer 1213,1,157.47
2024-07-25 06:32:27.895791,Wireless Mouse,Accessories,North,Customer 4117,1,41.78
2024-07-26 00:05:46.292585,Noise Cancelling Headphones,Electronics,North,Customer 9905,4,189.93
2024-07-26 17:39:04.689378,Laptop Stand,Furniture,South,Customer 7368,4,55.05
2024-07-27 11:12:23.086172,Webcam HD,Electronics,West,Customer 8833,1,58.76
2024-07-28 04:45:41.482965,Laptop Stand,Furniture,South,Customer 4041,2,163.48
2024-07-28 22:18:59.879759,Mechanical Keyboard,Accessories,East,Customer 9508,1,156.19
2024-07-29 15:52:18.276553,Monitor Arm,Furniture,North,Customer 1552,1,93.76
2024-07-30 09:25:36.673346,Noise Cancelling Headphones,Electronics,West,Customer 9442,2,89.72
2024-07-31 02:58:55.070140,USB-C Hub,Accessories,West,Customer 1021,4,594.28
2024-07-31 20:32:13.466933,USB-C Hub,Accessories,South,Customer 5109,1,41.23
2024-08-01 14:05:31.863727,Monitor Arm,Furniture,West,Customer 2560,4,515.69
2024-08-02 07:38:50.260521,Laptop Stand,Furniture,West,Customer 5780,3,337.11
2024-08-03 01:12:08.657314,Desk Lamp,Furniture,East,Customer 8979,5,606.64
2024-08-03 18:45:27.054108,Laptop Stand,Furniture,Central,Customer 9503,3,295.64
2024-08-04 12:18:45.450901,USB-C Hub,Accessories,East,Customer 7236,4,98.37
2024-08-05 05:52:03.847695,Desk Lamp,Furniture,West,Customer 8005,1,131.06
2024-08-05 23:25:22.244488,Laptop Stand,Furniture,West,Customer 4453,5,823.15
2024-08-06 16:58:40.641282,Noise Cancelling Headphones,Electronics,East,Customer 5703,2,30.53
2024-08-07 10:31:59.038076,Laptop Stand,Furniture,West,Customer 2394,5,119.6
2024-08-08 04:05:17.434869,Webcam HD,Electronics,Central,Customer 1529,4,143.68
2024-08-08 21:38:35.831663,Desk Lamp,Furniture,South,Customer 4591,1,34.34
2024-08-09 15:11:54.228456,Monitor Arm,Furniture,South,Customer 1374,2,88.43
2024-08-10 08:45:12.625250,Monitor Arm,Furniture,West,Customer 2646,5,76.39
2024-08-11 02:18:31.022044,Desk Lamp,Furniture,South,Customer 4814,1,41.97
2024-08-11 19:51:49.418837,USB-C Hub,Accessories,West,Customer 3113,1,16.07
2024-08-12 13:25:07.815631,Webcam HD,Electronics,West,Customer 8062,1,148.61
2024-08-13 06:58:26.212424,USB-C Hub,Accessories,South,Customer 6724,2,67.72
